name,id
Hurricane Evacuation Zones,uihr-hn7s
Sandy Inundation Zone,uyj8-7rv5
NYC Stormwater Flood Map - Moderate Flood with Current Sea Levels,7r5q-vr7p
NYC Stormwater Flood Map - Moderate Flood with 2050 Sea Level Rise,5rzh-cyqd
NYC Stormwater Flood Map - Extreme Flood with 2080 Sea Level Rise,w8eg-8ha6
Projected Sea Level Rise,6an6-9htp
Sea Level Rise Maps (2020s 100-year Floodplain),ezfn-5dsb
Sea Level Rise Maps (2020s 500-year Floodplain),ajyu-7sgg
Sea Level Rise Maps (2050s 100-year Floodplain),hbw8-2bah
Sea Level Rise Maps (2050s 500-year Floodplain),qwca-zqw3
2050s Mean Sea Level,3vjp-ybhy
2080s Mean Sea Level,cyvg-fsk8
2100s Mean Sea Level,q7rf-ks4h
2020s Mean Monthly High Water,ebsy-4b6x
2050s Mean Monthly High Water,p8e8-yh4m
2080s Mean Monthly High Water,amfa-s2y8
2100s Mean Monthly High Water,mzds-2cdc
Building Elevation and Subgrade (BES),bsin-59hv
DEP Green Infrastructure,spjh-pz7h
1 foot Digital Elevation Model (DEM),dpc8-z3jc
DEPs Citywide Parcel-Based Impervious Area GIS Study,uex9-rfq8
