2024-12-28 22:16:19,Processing mhyv-6iza
2024-12-28 22:16:20,Processing mhyv-6iza,column Trust Name
2024-12-28 22:16:20,Processing mhyv-6iza,column Expenditure Name
2024-12-28 22:16:20,Processing mhyv-6iza,column Amount
2024-12-28 22:16:20,Processing mhyv-6iza,column Date of Incurrence
2024-12-28 22:16:20,Processing mhyv-6iza,column Purpose of Expenditure
2024-12-28 22:16:20,Processing mhyv-6iza,column Attested By
2024-12-28 22:16:20,Processing mhyv-6iza,column Payee Name
2024-12-28 22:16:20,Processing mhyv-6iza,column Payee Address
2024-12-28 22:16:20,Processing mhyv-6iza,column City
2024-12-28 22:16:20,Processing mhyv-6iza,column State
2024-12-28 22:16:20,Processing mhyv-6iza,column Zip Code
2024-12-28 22:16:20,Processing mhyv-6iza,column Borough
2024-12-28 22:16:20,Processing mhyv-6iza,column Latitude
2024-12-28 22:16:20,Processing mhyv-6iza,column Longitude
2024-12-28 22:16:20,Processing mhyv-6iza,column Community Board
2024-12-28 22:16:20,Processing mhyv-6iza,column Council District
2024-12-28 22:16:20,Processing mhyv-6iza,column BIN
2024-12-28 22:16:20,Processing mhyv-6iza,column BBL
2024-12-28 22:16:20,Processing mhyv-6iza,column Census Tract (2020)
2024-12-28 22:16:20,Processing mhyv-6iza,column Neighborhood Tabulation Area (NTA) (2020)
2024-12-28 22:16:30,Processing 4pta-f4ca
2024-12-28 22:16:31,Processing 4pta-f4ca,column Borough
2024-12-28 22:16:31,Processing 4pta-f4ca,column ParkorPlayground
2024-12-28 22:16:31,Processing 4pta-f4ca,column Date
2024-12-28 22:16:31,Processing 4pta-f4ca,column SportsPlayed
2024-12-28 22:16:31,Processing 4pta-f4ca,column KIMorSSE
2024-12-28 22:16:31,Processing 4pta-f4ca,column Attendance
2024-12-28 22:16:31,Processing 4pta-f4ca,column Cancellation
2024-12-28 22:16:41,Processing jsiv-zh9r
2024-12-28 22:16:42,Processing jsiv-zh9r,column Trust Name
2024-12-28 22:16:42,Processing jsiv-zh9r,column Donation Name
2024-12-28 22:16:42,Processing jsiv-zh9r,column Description
2024-12-28 22:16:42,Processing jsiv-zh9r,column Amount
2024-12-28 22:16:42,Processing jsiv-zh9r,column Date of Donation
2024-12-28 22:16:42,Processing jsiv-zh9r,column First Name
2024-12-28 22:16:42,Processing jsiv-zh9r,column Last Name
2024-12-28 22:16:42,Processing jsiv-zh9r,column City
2024-12-28 22:16:42,Processing jsiv-zh9r,column State
2024-12-28 22:16:42,Processing jsiv-zh9r,column Zip Code
2024-12-28 22:16:52,Processing t3pj-3dgu
2024-12-28 22:16:52,Processing t3pj-3dgu,column Trust Name
2024-12-28 22:16:52,Processing t3pj-3dgu,column First Name
2024-12-28 22:16:52,Processing t3pj-3dgu,column Last Name
2024-12-28 22:16:52,Processing t3pj-3dgu,column City
2024-12-28 22:16:52,Processing t3pj-3dgu,column State
2024-12-28 22:16:52,Processing t3pj-3dgu,column Zip
2024-12-28 22:16:52,Processing t3pj-3dgu,column Donation Date
2024-12-28 22:16:52,Processing t3pj-3dgu,column Donation Amount
2024-12-28 22:16:52,Processing t3pj-3dgu,column Refund Date
2024-12-28 22:16:52,Processing t3pj-3dgu,column Refund Amount
2024-12-28 22:16:52,Processing t3pj-3dgu,column Donation Number
2024-12-28 22:17:02,Processing bzby-7sfr
2024-12-28 22:17:04,Processing bzby-7sfr,column Session
2024-12-28 22:17:04,Processing bzby-7sfr,column Borough
2024-12-28 22:17:04,Processing bzby-7sfr,column Swimming Pool
2024-12-28 22:17:04,Processing bzby-7sfr,column Class Type
2024-12-28 22:17:04,Processing bzby-7sfr,column StartTime
2024-12-28 22:17:04,Processing bzby-7sfr,column Total Registration
2024-12-28 22:17:04,Processing bzby-7sfr,column Total Attendance
2024-12-28 22:17:04,Processing bzby-7sfr,column ClassName
2024-12-28 22:17:14,Processing inkn-q76z
2024-12-28 22:17:25,Processing inkn-q76z,column the_geom
2024-12-28 22:17:25,Processing inkn-q76z,column PHYSICALID
2024-12-28 22:17:25,Processing inkn-q76z,column L_LOW_HN
2024-12-28 22:17:25,Processing inkn-q76z,column L_HIGH_HN
2024-12-28 22:17:25,Processing inkn-q76z,column R_LOW_HN
2024-12-28 22:17:25,Processing inkn-q76z,column R_HIGH_HN
2024-12-28 22:17:25,Processing inkn-q76z,column L_ZIP
2024-12-28 22:17:26,Processing inkn-q76z,column R_ZIP
2024-12-28 22:17:26,Processing inkn-q76z,column L_BLKFC_ID
2024-12-28 22:17:26,Processing inkn-q76z,column R_BLKFC_ID
2024-12-28 22:17:26,Processing inkn-q76z,column ST_LABEL
2024-12-28 22:17:26,Processing inkn-q76z,column STATUS
2024-12-28 22:17:26,Processing inkn-q76z,column BIKE_LANE
2024-12-28 22:17:27,Processing inkn-q76z,column BOROCODE
2024-12-28 22:17:27,Processing inkn-q76z,column ST_WIDTH
2024-12-28 22:17:27,Processing inkn-q76z,column CREATED
2024-12-28 22:17:27,Processing inkn-q76z,column MODIFIED
2024-12-28 22:17:27,Processing inkn-q76z,column TRAFDIR
2024-12-28 22:17:27,Processing inkn-q76z,column RW_TYPE
2024-12-28 22:17:28,Processing inkn-q76z,column FRM_LVL_CO
2024-12-28 22:17:28,Processing inkn-q76z,column TO_LVL_CO
2024-12-28 22:17:28,Processing inkn-q76z,column SNOW_PRI
2024-12-28 22:17:28,Processing inkn-q76z,column PRE_MODIFI
2024-12-28 22:17:28,Processing inkn-q76z,column PRE_DIRECT
2024-12-28 22:17:28,Processing inkn-q76z,column PRE_TYPE
2024-12-28 22:17:28,Processing inkn-q76z,column POST_TYPE
2024-12-28 22:17:28,Processing inkn-q76z,column POST_DIREC
2024-12-28 22:17:28,Processing inkn-q76z,column POST_MODIF
2024-12-28 22:17:28,Processing inkn-q76z,column FULL_STREE
2024-12-28 22:17:28,Processing inkn-q76z,column ST_NAME
2024-12-28 22:17:28,Processing inkn-q76z,column BIKE_TRAFD
2024-12-28 22:17:28,Processing inkn-q76z,column SEGMENT_TY
2024-12-28 22:17:29,Processing inkn-q76z,column SHAPE_Leng
2024-12-28 22:17:39,Processing ipkp-snf6
2024-12-28 22:17:45,Processing ipkp-snf6,column the_geom
2024-12-28 22:17:45,Processing ipkp-snf6,column NAME
2024-12-28 22:17:45,Processing ipkp-snf6,column BIN
2024-12-28 22:17:45,Processing ipkp-snf6,column HEIGHTROOF
2024-12-28 22:17:45,Processing ipkp-snf6,column LSTMODDATE
2024-12-28 22:17:45,Processing ipkp-snf6,column LSTSTATYPE
