value,count,timestamp,column,id
Flood,525,2024-12-29 19:14:56,last_name,5gq7-rgmv
Flooderman,1,2024-12-29 19:14:56,last_name,5gq7-rgmv
Floods,1,2024-12-29 19:14:56,last_name,5gq7-rgmv
"FLOOD,NICOLE,R",18,2024-12-29 19:20:49,name,c4dx-tk4d
Flood,719,2024-12-29 19:25:49,last_name,j62e-7maa
Floods,3,2024-12-29 19:25:49,last_name,j62e-7maa
Floodberg,1,2024-12-29 19:25:49,last_name,j62e-7maa
Floodirst,1,2024-12-29 19:25:49,last_name,j62e-7maa
Floodstrand,1,2024-12-29 19:25:49,last_name,j62e-7maa
Floody,1,2024-12-29 19:25:49,last_name,j62e-7maa
Alina Flood,1,2024-12-29 19:26:42,first_name,j62e-7maa
Jennie Flood,1,2024-12-29 19:26:42,first_name,j62e-7maa
Ralph Flood,1,2024-12-29 19:26:42,first_name,j62e-7maa
"FLOOD,NICOLE,R",352,2024-12-29 19:29:48,name,xjtr-h2x2
"Elect Director Eugene Flood, Jr.",47,2024-12-29 19:48:24,proposal_text,fpxc-zjtm
Re-elect Sharon Flood as Director,31,2024-12-29 19:48:24,proposal_text,fpxc-zjtm
Report on Risks of Petrochemical Operations in Flood Prone Areas,14,2024-12-29 19:48:24,proposal_text,fpxc-zjtm
Report on Public Health Risks of Petrochemical Operations in Flood Prone Areas,4,2024-12-29 19:48:24,proposal_text,fpxc-zjtm
Re-elect Eugene Flood Jr as Director,2,2024-12-29 19:48:24,proposal_text,fpxc-zjtm
Elect Sharon Flood as Director,1,2024-12-29 19:48:24,proposal_text,fpxc-zjtm
"Natural Disasters (Fire, Flood, Wind, Quakes) Consulting",686,2024-12-29 19:50:05,commodity,irs3-wn2g
"Lighting Fixtures, Outdoor: Floodlights, Spotlights, Yard Lights, and all other Weatherproof Fixtures (Except Streetlights) (Including Recycled Types)",574,2024-12-29 19:50:05,commodity,irs3-wn2g
"Lights and Lens: Emergency, Flood, Trouble and Spotlights",399,2024-12-29 19:50:05,commodity,irs3-wn2g
"Studio Production Equipment: Backdrop Mechanisms, Floods, Posing Stools, Reflectors, Spots, Stands, Strobe Systems, etc. (See Class 285 for Lamps)",124,2024-12-29 19:50:05,commodity,irs3-wn2g
"Lighting Instruments: Border and Cyclorama Strip lights, Follow Spotlights, Floodlights, Special Effects Lighting, Spotlights, etc.",105,2024-12-29 19:50:05,commodity,irs3-wn2g
"Flood Control Devices, Equipment, Accessories and Parts",98,2024-12-29 19:50:05,commodity,irs3-wn2g
Flood,87,2024-12-29 19:50:05,commodity,irs3-wn2g
"Flood Control Services, Marine",74,2024-12-29 19:50:05,commodity,irs3-wn2g
"Orange Flood Control, LLC",55,2024-12-29 19:50:15,vendor_name,irs3-wn2g
MAGNIFLOOD INC,10,2024-12-29 19:50:15,vendor_name,irs3-wn2g
U.S. Flood Control Corp.,7,2024-12-29 19:50:15,vendor_name,irs3-wn2g
Flood,1017,2024-12-29 19:50:37,last_name,797j-9xvg
Floode,1,2024-12-29 19:50:37,last_name,797j-9xvg
Floodin,1,2024-12-29 19:50:37,last_name,797j-9xvg
Floodman,1,2024-12-29 19:50:37,last_name,797j-9xvg
Floods,1,2024-12-29 19:50:37,last_name,797j-9xvg
NYC OEM EVACUATION FLOOD ZONE A,26348,2024-12-29 19:54:00,stipulationfulltext,pbk5-6r7z
FLOODA,26348,2024-12-29 19:54:37,stipulationid,pbk5-6r7z
FLOOD LIGHTS,11,2024-12-29 20:01:11,equipmenttypedesc,c9sj-fmsg
Flood Barrier,2,2024-12-29 20:01:11,equipmenttypedesc,c9sj-fmsg
VA MEDICAL --FLOOD WALL INSTALLATION--MEC14-523.. MAINTAIN 2X10FT MOVING LANES FOR TRAFFIC(ONE IN EACH DIRECTION) AS PER RESTRIPING PLAN... THE CONTRACTOR MAY UTILIZE STIPULATION #35 AROUND LARGE DRILL RIG DURING WORKING HOURS (STIPULATION #19) ONLY,336,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
JAVITS .. OCCUPY 10FT (TEN FEET) ADJACENT TO WEST CURB FACE 24/7 .. CATCH BASIN GRATING SHALL BE ISOLATED FROM PEDESTRIANS AND REMAIN FUNCTIONAL AT ALL TIMES. ANY FLOODING OF WALKWAY SHALL BE ABATED BY CONTRACTOR AS A PRIORITY.,54,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
MONTHLY -- JAVITS BOLLARDS --... OCCUPANCY OF WEST CURB LANE TO REMAIN WITHIN EXTENDED CURB LIMIT WITHOUT IMPACTING ADJACENT MOVING LANE ... COMPLY WITH LAW ENFORCEMENT ON SITE .. MUST COORDINATE AND COMPLY WITH NYPD COUNTER TERRORISM (SGT. WINGERT) BEFORE RELOCATING ANY NYPD SECURITY BLOCKS ...... CATCH BASIN GRATINGs SHALL BE ISOLATED FROM PEDESTRIANS AND REMAIN FUNCTIONAL AT ALL TIMES. ANY FLOODING OF WALKWAY SHALL BE ABATED BY CONTRACTOR AS A PRIORITY.,48,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
"GS MEC-14-490, OCCUPY 8FT OF THE FLOODING PARKING LANE AT ALL TIME. DO NOT BLOCK BIKE LANE. MATERIAL &amp; EQUIPMENT ON ROADWAY &amp; SIDEWALK.",47,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
MJ; FLOOD PROOFING ONLY DOB 05/15/18,40,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
SA; WORK RELATED TO FLOOD MITIGATION AS PER QEC-03,29,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
SA/ MUST COORDINATE WITH ONGOING FLOOD MITIGATION WORK CONTRACT B-62032 BEFORE MOBILIZING. MAX LF IS 75'. MUST MAINTAIN ACCESS TO BUS DEPOT AT ALL TIMES,24,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
VA MEDICAL --FLOOD WALL INSTALLATION-- MAINTAIN 2X10FT MOVING LANES FOR TRAFFIC(ONE IN EACH DIRECTION) AS PER RESTRIPING PLAN... THE CONTRACTOR MAY UTILIZE STIPULATION #35 AROUND LARGE DRILL RIG DURING WORKING HOURS (STIPULATION #19) ONLY,23,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
MJ; RAISING FLOOR OF EXISTING BLDG ABOVE FLOOD LEV,14,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
MONTHLY -- JAVITS BOLLARDS -- OCCUPY A MAXIMUM OF 200LF OF WEST CURB LANE FOR PEDESTRIAN WALKWAY (OCMC95) .... 200LF MAXIMUM ALLOWANCE FOR JAVITS 11AVE FRONTAGE 37ST THRU 34ST ... OCCUPANCY OF WEST CURB LANE TO REMAIN WITHIN EXTENDED CURB LIMIT WITHOUT IMPACTING ADJACENT MOVING LANE ... COMPLY WITH LAW ENFORCEMENT ON SITE .. MUST COORDINATE AND COMPLY WITH NYPD COUNTER TERRORISM (SGT. WINGERT) BEFORE RELOCATING ANY NYPD SECURITY BLOCKS ...... CATCH BASIN GRATINGs SHALL BE ISOLATED FROM PEDESTRIANS AND REMAIN FUNCTIONAL AT ALL TIMES. ANY FLOODING OF WALKWAY SHALL BE ABATED BY CONTRACTOR AS A PRIORITY.,12,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
CB; WORK RELATED TO FLOOD MITIGATION AS PER QEC-03,12,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
"VA MEDICAL --FLOOD WALL INSTALLATION, AND CAMPUS STORM HARDENING --MEC14-523.. MAINTAIN 2 MOVING LANES FOR TRAFFIC (ONE IN EACH DIRECTION) AS PER RESTRIPING PLAN...",10,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
MJ; FLOODPROOFING OF BLDG DOB 05/15/18,8,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
FLOOD MITIGATION /TIGER DAM DEPLOYMENT AND BREAKDOWN.. SPECIAL NOTE: NYCDOT REVOCABLE CONSENTS FOR THIS NYULMC FLOOD MITIGATION SYSTEM IS STILL NOT SATIFIED AS OF TODAY 10/2/2015. JB.,7,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
FLOOD MITIGATION /TIGER DAM BREAKDOWN AND REMOVAL .. SPECIAL NOTE: NYCDOT REVOCABLE CONSENTS FOR THIS NYULMC FLOOD MITIGATION SYSTEM IS STILL NOT SATIFIED AS OF OCTOBER 2015. JB NYULMC MUST SUBMIT AN MPT FOR MAINTENENCE OF TIGER DAMS DURING ONGOING CONSTRUCTION  - CALL JBUCCHERI 917-992-6107 TO DISCUSS,7,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
"flood mitigation drill, tiger dam deployment and breakdown... work 6am-8pm on sunday, work 8pm-6am on monday and tuesday nights",7,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
VA MEDICAL --FLOOD WALL INSTALLATION--MEC14-523.. MAINTAIN 2X10FT MOVING LANES FOR TRAFFIC(ONE IN EACH DIRECTION) AS PER RESTRIPING PLAN.,6,2024-12-29 20:01:36,specificstipulations,c9sj-fmsg
